"ssn","price","postal_code","size","address"
"554248127064427","59443688","5030366231","209","280 رضا تقاطع واحد 705, شهر مليکا, آذربایجان غربی 0174"
"554248127064427","768741637","6878269753","166","49023 نازنين جاده سوئیت 161, جنوب هستی, چهارمحال و بختیاری 164"
"640099534238285","635847607","7873777358","138","196 احسان بن بست واحد 087, شرق ماهان, لرستان 5009"
"640099534238285","644698572","3943612381","283","84498 محجوب جنب واحد 050, باغات مهسا, قزوین 5388322231"
"327779718778500","64663846","2791006817","179","2504 روحانی دره سوئیت 575, شهر فاطمه, خوزستان 02012"
"146978025739048","313686951","9586644103","138","909 آيلين جزیره, روستای سجاد, کردستان 7827026415"
"146978025739048","394857260","4383365433","237","62777 یاسمین تقاطع, شهر زينب, فارس 20012"
"321983971906218","878058743","8293280931","107","45847 حریریان جاده سوئیت 949, باغات ماهان, تهران 38754"
"87546601486308","62279550","9421752182","97","69456 ولاشجردی بلوار واحد 178, روستای الینا, فارس 2115"
"87546601486308","665226445","5314583919","166","1788 محمدی خیابان واحد 392, بندر ابوالفضل, خراسان رضوی 1671313531"
"45999633805610","434028282","4032313808","207","5413 مبينا کوچه, دهستان بنيامين, خراسان جنوبی 333219"
"45999633805610","241535673","3369014761","292","1422 محمد مهدی کوچه, غرب حنانه, بوشهر 76627"
"327260141265703","595976946","1778802179","93","6848 زارعی جاده, شرق ياسين, خراسان 41804"
"741394339427639","161524565","3608909934","266","1840 محمدپارسا آزاد راه سوئیت 172, شمال نیایش, فارس 8161851497"
"741394339427639","344612507","7406153959","178","282 آرمين چهار راه سوئیت 328, غرب زهرا, یزد 736"
"140042139577130","466542464","1439518747","173","88008 اسما خیابان سوئیت 598, غرب حلما, تهران 958777"
"507981165102997","630819624","7984192296","258","6575 محمدجواد بن بست, باغات آرمین, کهگیلویه و بویراحمد 24796"
"278145613161498","943866863","3962334149","191","52310 رسته بن بست واحد 781, شهرستان پرهام, کردستان 662787"
"278145613161498","340098381","7890409573","251","758 ياسين تقاطع سوئیت 301, شمال عسل, کردستان 064438"
"562249220944728","872400003","8230751685","234","86916 جلالی میدان, شمال معصومه, اردبیل 745"
"850382576640462","343759398","7052316207","88","76254 فاطمياسارينا بن بست, باغات كیان, هرمزگان 323"
"850382576640462","274041654","2416078707","258","350 الناز خیابان سوئیت 009, جنوب هستی, اردبیل 6559386218"
"516822629949558","745603498","3530008986","109","39296 مليکا بن بست واحد 333, شرق کوثر, زنجان 2011"
"516822629949558","314510419","1959329254","273","094 نعمتی تونل, باغات سارا, زنجان 669930"
"231849529926132","930626495","7752100119","118","4771 آرمين دره سوئیت 924, دهستان ایلیا, کهگیلویه و بویراحمد 698"
"172098355415850","194210050","2328612415","293","33475 حنانه میدان سوئیت 719, شهر نازنین, مرکزی 018"
"762457446031864","954380719","9476013797","174","3942 رودگر بن بست, دهستان زهرا, سمنان 759"
"488564041277259","594617745","9684562608","270","4155 صنایعی جاده سوئیت 269, باغات آتنا, سیستان و بلوچستان 8237"
"488564041277259","357692287","2747349978","292","709 معروف تقاطع واحد 378, شرق کيان, یزد 662"
"781985536488635","734446512","6763598979","209","6201 یاسمین تقاطع, استان نازنين, خوزستان 9045"
"291277371870779","202971693","9567237409","92","3597 موحد کوه واحد 095, غرب مهسا, گلستان 2427"
"980620719224527","842469712","5501739898","228","3778 پرهام میدان, شمال محمد, مازندران 192586"
"529663938886642","372158844","2556024286","83","4268 عرفان کوچه, استان عرفان, تهران 29702"
"529663938886642","626426154","3531556172","125","748 احمدی تقاطع, شمال اسرا, قم 6289463155"
"146162641921333","512775758","3469600359","156","1729 نوروزی بلوار واحد 606, دهستان محیا, مرکزی 806135"
"146162641921333","870534766","1469461432","175","995 تهرانی بن بست, باغات فاطمه زهرا, خراسان جنوبی 1529"
"105549292039155","998226964","4605537611","124","87936 احسان آزاد راه واحد 637, غرب النا, خراسان جنوبی 29669"
"917146500791817","607930414","6612993259","103","97305 سمسار آزاد راه واحد 748, باغات محمدیاسین, گیلان 4545218348"
"422571660947499","551121063","9322185799","173","2849 یزدی خیابان واحد 809, غرب محمدمهدي, تهران 8352743909"
"314145953528467","273242349","4196344390","131","060 ظفری دره واحد 521, باغات یوسف, خوزستان 3335"
"280830420878127","193979559","6836364549","89","703 تنزیلی آزاد راه, بندر علی اصغر, بوشهر 642414"
"280830420878127","997378482","6546692110","254","809 لاهوتی خیابان, شمال پریا, آذربایجان شرقی 121"
"947828301900223","492009687","2106693326","126","0088 ابوالفضل پل, غرب سوگند, کهگیلویه و بویراحمد 1923543593"
"682659470095934","548914642","2610961950","162","331 صیادی میدان سوئیت 839, بندر نازنين, قزوین 3101"
"682659470095934","675909675","7525317320","224","51771 جعفر پور جزیره, شهر حلما, البرز 4925338274"
"484594473651569","570260859","4273421052","283","55528 پارسا جنب, شرق پرنيا, آذربایجان غربی 15446"
"545582245378802","727504605","7149392749","203","476 هدایت تونل, جنوب رقیه, خوزستان 224"
"504195692672475","555881726","2533857998","145","971 بهرامی میدان سوئیت 794, استان یاسمین, اردبیل 6961903461"
"504195692672475","962341528","3615160171","226","487 حسین بزرگ راه واحد 839, بندر آیناز, قزوین 8032521725"
"860070813578849","936011596","2128931053","207","815 محمدمهدي بن بست, شرق محمدپارسا, خراسان جنوبی 405504"
"747960944983949","995514708","5776727749","125","18401 محمد طاها کوچه سوئیت 736, باغات آیلین, خوزستان 24546"
"747960944983949","376244486","8854608221","280","162 هومن کوچه واحد 162, شمال نازنین, ایلام 46406"
"609431134531401","812465407","2118935908","149","515 عزیزی میدان, شمال ثنا, مازندران 788"
"339753686418445","833580887","6840470244","204","313 رودگر بزرگ راه, شرق فاطمياسارينا, زنجان 195061"
"339753686418445","463900625","1945736323","223","6957 محجوب دره, بندر یوسف, آذربایجان غربی 46325"
"727484246590189","286397299","9100540911","167","4433 النا پل سوئیت 100, شهرستان مریم, قم 2593"
"658525952432541","467319603","6244540198","207","533 رها میدان واحد 161, روستای علی اكبر, مرکزی 3440"
"533436888270609","263579015","1882151271","197","87187 مجتهدی کوه واحد 130, شهرستان سينا, خراسان رضوی 22793"
"649208246043769","865107967","8175892529","281","2739 پارسا تقاطع سوئیت 307, استان رها, آذربایجان غربی 973"
"101548270782743","221165121","6639151431","267","831 دایی تقاطع واحد 549, شهر آتنا, تهران 8112"
"101548270782743","91654509","2971282384","83","316 شاکری چهار راه, دهستان نيايش, هرمزگان 786436"
"444096722257888","570763103","2779876297","110","9169 سينا بن بست, روستای علی اصغر, مرکزی 9900640612"
"444096722257888","800092878","3784796190","294","3482 عليرضا بلوار سوئیت 283, غرب آوا, اردبیل 47790"
"156951644520480","120373755","6443461730","250","1801 زینب جنب, دهستان محمدحسين, آذربایجان شرقی 9353643331"
"839463878859727","422850485","5787595414","247","01861 ابوالفضل بلوار, شهرستان آتنا, آذربایجان غربی 9941632894"
"839463878859727","462805340","3399716682","201","52839 محمد بن بست واحد 885, شهر هليا, همدان 2685"
"862553038887036","575218604","5388725213","274","02002 ایلیا بزرگ راه سوئیت 756, شهر سارا, قم 0459"
"845059836704717","850168214","4057840975","145","957 رستمی بلوار, شهر ايليا, همدان 4981881407"
"935853261923867","297352724","7522839737","279","439 نرگس پل, استان هليا, خراسان رضوی 0863931919"
"429434572255715","154391467","9292248993","240","8731 حسام جاده, شرق امیرحسین, لرستان 991929"
"429434572255715","426820419","7480375192","97","09334 زمانی تونل واحد 995, دهستان نرگس, خراسان رضوی 179"
"279086524043285","348714910","5713731500","215","50153 محمد بن بست واحد 314, شهرستان اسرا, اصفهان 98607"
"279086524043285","259895557","1194114471","265","05707 کابلی خیابان, شهر ابوالفضل, قم 738441"
"100836360570007","832135119","6724804157","217","132 سغیری کوچه, شهرستان يسنا, خراسان 63932"
"523222441443161","607519558","1281597405","292","78892 حنانه چهار راه, باغات ايليا, اردبیل 7416"
"662487200914523","277010033","3265208427","299","123 فرجی میدان سوئیت 008, شهر محمدرضا, اصفهان 4818225546"
"607126082121403","99454530","4756163293","174","7399 ربانی پل واحد 072, شهرستان محمد, خوزستان 927591"
"607126082121403","642733782","3837859564","148","38574 ايليا میدان, غرب محمدپارسا, زنجان 02875"
"817733939739252","510904095","6081083403","291","197 میردامادی پل سوئیت 944, باغات ايليا, اصفهان 44448"
"817733939739252","607023597","7805987578","101","84974 عرشیا جزیره, دهستان محمدامين, گیلان 2509298969"
"414773322904466","928155053","5770714701","177","69581 عباسی جاده, جنوب ريحانه, تهران 631395"
"29306240925197","399034432","1594777015","149","700 نوبختی کوچه سوئیت 564, باغات آیدا, اردبیل 95738"
"29306240925197","422756243","2251189715","265","7444 بهمنی میدان, غرب مهدیس, کهگیلویه و بویراحمد 094"
"985832392225693","625475343","1923778200","108","29697 ستایش بزرگ راه, شهرستان حسين, کرمانشاه 89852"
"985832392225693","925506745","6084299118","295","885 سبحان بلوار واحد 657, غرب يسنا, چهارمحال و بختیاری 64700"
"651327417759665","763007696","3307271202","229","0907 مائده جزیره, شمال امیررضا, چهارمحال و بختیاری 1116"
"651327417759665","435971335","2214433073","125","186 محمدعلي جنب سوئیت 348, جنوب امیر علی, آذربایجان غربی 7120626661"
"319182953113701","374450302","4746870132","272","6121 امیرحسین چهار راه واحد 380, باغات مائده, آذربایجان غربی 092"
"318958372227655","471802121","5185922892","286","938 اشتری تونل, دهستان امیرحسین, کهگیلویه و بویراحمد 5570"
"745382265119050","560787833","9768645056","201","610 محجوب کوچه سوئیت 995, بندر كوثر, خراسان جنوبی 251"
"962210266723390","917679181","2456759439","119","65065 نوبختی تقاطع, جنوب رها, کهگیلویه و بویراحمد 87975"
"962210266723390","734531438","8378606409","174","6688 صنایعی پل سوئیت 880, شهرستان متین, کهگیلویه و بویراحمد 390"
"436965278652647","118617014","5778256315","246","1071 عليرضا کوه, شهرستان سبحان, اصفهان 10314"
"436965278652647","520937599","6374404872","159","1190 محمد پور چهار راه, شهرستان کيانا, آذربایجان شرقی 3502"
"311852941702685","155556673","6634884287","157","796 رودگر بن بست واحد 963, بندر آراد, یزد 91546"
"311852941702685","917346805","8172133666","300","2846 نوروزی آزاد راه سوئیت 556, غرب ستایش, بوشهر 183"
"686072469386953","110707642","1605799795","167","700 سجاد کوچه, بندر آیناز, بوشهر 3875"
"686072469386953","774340840","1722215174","189","99511 یاسین بن بست سوئیت 418, جنوب مائده, سمنان 03849"
"585791011532163","331778964","5232796184","206","75462 نرگس بن بست واحد 826, باغات عسل, آذربایجان غربی 10899"
"585791011532163","372489169","3133805844","116","4660 زمانی بلوار واحد 253, باغات سارینا, کردستان 767"
"47992108015393","238263237","3580434848","263","670 عباس میدان واحد 774, باغات عليرضا, قم 13126"
"494465851868949","669715927","2172174311","188","989 طلوعی چهار راه سوئیت 421, استان مائده, آذربایجان شرقی 1404058195"
"198343567822815","173822361","9001173812","84","923 پویان خیابان, غرب ابوالفضل, تهران 17527"
"198343567822815","389307324","7865208458","263","420 بهار بزرگ راه سوئیت 681, دهستان ياسمين, چهارمحال و بختیاری 846121"
"813198686094298","472706800","2016230310","81","14460 وثاق دره, دهستان رقيه, فارس 51705"
"453494851028030","371253018","8357252228","83","00632 مبینا بزرگ راه واحد 046, باغات ساميار, اردبیل 9344919990"
"453494851028030","221496184","4210712708","268","3520 زمانی خیابان, غرب اميرعلي, آذربایجان غربی 744"
"396213639739280","583963738","7063498184","237","3370 عبدالمالکی دره, روستای باران, خراسان جنوبی 4172"
"396213639739280","630388542","5565118050","100","609 دایی بلوار, بندر متين, همدان 828898"
"431467959491967","294931724","5436180559","165","9234 ريحانه بن بست سوئیت 346, بندر محمدیاسین, اردبیل 77469"
"431467959491967","642775193","7299868459","263","26464 كوثر بن بست واحد 601, شهر ابوالفضل, تهران 092"
"28786058119959","454920006","2675130051","270","01835 كوثر بزرگ راه سوئیت 461, روستای مهدي, همدان 8836712970"
"28786058119959","893686007","3287119177","289","4158 علي جنب سوئیت 556, غرب ماهان, زنجان 71528"
"368302352005309","141609549","6546726160","162","94295 نازنين کوچه, شمال محمدمهدي, تهران 7057"
"368302352005309","273828319","3798462391","244","96586 پارسا جزیره, شرق محمدپارسا, گیلان 22197"
"896188415516954","868467359","5353356663","143","7818 مائده کوه واحد 630, جنوب محمدياسين, زنجان 098204"
"836412059403268","291401894","7529426627","291","43659 شادروان دره سوئیت 376, شرق نیما, زنجان 387237"
"277176292208190","158762783","9923523870","176","0174 مریم خیابان سوئیت 904, غرب یلدا, لرستان 487555"
"279596562049861","365602942","2828680425","137","9917 هوشیار بزرگ راه سوئیت 607, دهستان امیر علی, خوزستان 660"
"246183642945743","100094902","5040993161","229","81653 دادفر پل, شهر الینا, سیستان و بلوچستان 544"
"772542352842608","962517661","1839571403","97","04378 تحسینی پل واحد 854, شرق آراد, خراسان شمالی 2284865947"
"917891057399104","753261713","1402777067","180","7360 متين جزیره سوئیت 968, باغات کوثر, خراسان جنوبی 73535"
"199267453901944","466180769","4471637908","278","4068 آرش خیابان سوئیت 992, استان فاطمه, قم 711"
"522534608973176","247158562","4976874546","104","6352 سوگند جاده, باغات باران, قزوین 540788"
"522534608973176","539160450","9930005317","148","6235 صیادی کوه واحد 015, دهستان ملیكا, کرمان 11202"
"563936088923769","129848511","7648244945","187","04956 چنگیزی جزیره, دهستان محدثه, زنجان 508027"
"17321703523257","259880681","6671444626","129","1791 علي خیابان, غرب حسام, کرمان 062338"
"17321703523257","293625472","1009576239","260","36601 اسما میدان, دهستان فاطمه, زنجان 082042"
"423186562192142","478692818","9010418119","143","65896 رفیعی تقاطع, باغات احسان, کرمان 630065"
"215705908211292","760323878","8896142181","299","6468 امیرمحمد کوه سوئیت 510, شمال امیررضا, سمنان 05652"
"801902757037649","352032930","1869879038","145","5050 پرهام کوه سوئیت 065, غرب علی رضا, البرز 5599"
"585728856922829","830887912","7119196648","231","9414 سارینا کوه, باغات محدثه, کرمانشاه 199413"
"223943406703998","587609332","5999299861","103","35050 زهرا تقاطع واحد 470, شهرستان عرفان, سیستان و بلوچستان 60353"
"353473184207296","834919200","1532294549","291","612 ملکیان پل واحد 366, بندر محيا, کرمانشاه 819612"
"993039634785414","996111811","7807940137","86","717 جلیلی پل, شهر یسنا, اردبیل 46472"
"993039634785414","672508403","9392667548","252","5270 جلیلی بن بست سوئیت 594, غرب اميرعباس, بوشهر 9992478162"
"917005544167324","188989719","7356921018","294","29271 محیا کوه, جنوب نیایش, یزد 805080"
"576511536557789","91392123","3211870256","92","3421 سبحان جنب, شمال آیدا, کهگیلویه و بویراحمد 821"
"576511536557789","358151184","2054038444","128","08237 روحانی کوچه واحد 292, جنوب آرش, فارس 036"
"424473998495014","776804753","8098052720","187","51389 لاچینی تونل, شمال علي, فارس 411969"
"424473998495014","80901672","8697024250","119","09529 ايليا تقاطع, استان محمدحسین, مازندران 1152213338"
"454711640301427","814884817","9539123322","213","505 جعفر پور آزاد راه, بندر محمدعلي, همدان 0909495707"
"454711640301427","203542304","4547542328","270","36277 ثنا خیابان, بندر آراد, هرمزگان 8008488331"
"640785909256409","835356150","7229132555","263","02197 رستمی بلوار سوئیت 283, شرق طاها, آذربایجان شرقی 4975"
"699136559401626","402541495","6220011735","154","241 محمدياسين کوه سوئیت 912, شمال محمدحسین, آذربایجان غربی 2856796376"
"900273809307906","285140388","8228185751","256","63535 نعمتی میدان واحد 471, استان هستی, کردستان 232"
"524934047193109","817894174","4500777229","289","12647 رستمی جزیره, شهر اسما, هرمزگان 4457242775"
"817113860417199","711973282","4520402678","209","704 صنایعی بن بست واحد 123, شرق آريا, سیستان و بلوچستان 691577"
"817113860417199","285873522","7283016313","278","9616 موحد چهار راه, شهر حدیث, بوشهر 8993"
"686634163714478","234632504","7268137082","277","7378 نوری پل, شمال مبين, تهران 004"
"947338004924266","394892530","3937852903","164","4837 یزدی جاده, استان علیرضا, قم 7805"
"947338004924266","261750333","9010502345","204","718 صنایعی بزرگ راه واحد 537, شمال زهرا, بوشهر 2693863062"
"667650956644388","964781501","3522112571","218","297 عباسی چهار راه واحد 564, شهرستان نازنين, کردستان 15152"
"627081376074184","921574468","6554280671","193","1620 ایلیا تقاطع, باغات امیرمحمد, تهران 76898"
"391243638135245","211631217","8522346761","278","1588 صیادی بن بست واحد 189, شرق آریا, گلستان 764"
"110254709908278","224897667","6459950066","243","114 هومن جاده, بندر ریحانه, سمنان 7584244016"
"110254709908278","280016264","7163135039","294","441 دانيال تقاطع, شمال باران, یزد 05830"
"160484768620498","143452791","3266271092","105","5927 صیادی دره, باغات ريحانه, مازندران 696801"
"160484768620498","982553466","4074049417","236","10736 شمشیری میدان سوئیت 866, بندر هلیا, گیلان 943629"
"686253357843993","823025851","9430975556","210","4299 یلدا پل, شمال محمدپارسا, کردستان 1503"
"686253357843993","785305180","8324879481","188","068 آراد جنب واحد 623, باغات حسين, خراسان رضوی 11302"
"870845179907893","340492563","9903938829","116","7344 مهدي پل, شمال محمدحسین, گیلان 965"
"724964457897263","638097302","3920930269","81","581 پریا پل, شهرستان مبینا, خراسان جنوبی 525"
"724964457897263","874897635","8787157550","178","7220 نوروزی آزاد راه واحد 852, روستای مهسا, قم 5577"
"388769884995887","772398825","2961632951","146","0712 هليا جاده, شهر محمدپارسا, گیلان 3824166429"
"388769884995887","490331309","7065125612","234","984 بنيامين بن بست, شهرستان باران, سیستان و بلوچستان 575"
"266050062927329","167198202","1939833057","130","6618 نامور میدان, شرق محمدجواد, قم 49739"
"509280001519607","218189681","8132761541","226","6745 مهدیس جنب سوئیت 281, دهستان آیناز, زنجان 975859"
"509280001519607","680220678","5099867770","153","95453 متين دره واحد 540, شرق احسان, خراسان شمالی 844"
"718158156845950","403958924","5291599012","175","5136 عبدالمالکی جاده واحد 227, جنوب ريحانه, چهارمحال و بختیاری 7334664897"
"718158156845950","292278767","2952514212","184","3066 نوبختی میدان سوئیت 664, باغات سجاد, تهران 6527"
"75462233404470","428336762","1704377438","125","33170 اسرا جنب واحد 582, جنوب آیدا, مازندران 770"
"75462233404470","943279089","1616505647","156","3329 روحانی جزیره, روستای ایلیا, ایلام 890"
"334474282777879","659525971","6295865026","264","25012 وثاق میدان, دهستان نرگس, مازندران 5904539475"
"243491759742655","408597481","1771896208","300","5540 اميرعلي پل واحد 762, جنوب امیرعباس, فارس 5826357939"
"243491759742655","236186088","3629906201","221","04918 حسام پل, دهستان کوثر, همدان 429859"
"775186005384489","156062427","5201144141","119","84100 سجاد جاده واحد 819, استان آرش, گلستان 20755"
"813282414007069","196364449","5601963824","143","228 معروف بن بست سوئیت 371, غرب ابوالفضل, خوزستان 361089"
"813282414007069","240469597","9117227487","89","26857 نوروزی تونل سوئیت 803, غرب مریم, خراسان رضوی 325765"
"863662582891385","654930064","7316215810","227","96181 محمد مهدی آزاد راه, بندر اميرمهدي, فارس 89028"
"139293873888723","590767419","7513064122","142","413 محمدجواد بلوار, باغات محمد, کهگیلویه و بویراحمد 9504405039"
"61774970152194","620097892","9791613538","178","638 آوا جاده سوئیت 400, غرب امیرعباس, گیلان 008162"
"61774970152194","940721821","5088398577","230","41010 هاشمی دره واحد 300, شهرستان ستایش, فارس 7536"
"17126781629531","467902644","7467072987","260","617 محمدحسین میدان واحد 094, استان ابوالفضل, خراسان جنوبی 0646"
"390906582926090","305165192","6163379274","156","47242 هوشیار بن بست, جنوب هانيه, گلستان 318243"
"390906582926090","736286151","9868121287","132","02740 علي دره, شرق آوا, خوزستان 451540"
"232957454284559","536078315","5718076636","246","826 مليکا خیابان واحد 135, شرق بنيامين, خراسان شمالی 314498"
"179603498352619","620495493","8938009634","94","1734 پارسا تقاطع, استان حسين, ایلام 6535"
"179603498352619","63646299","7680708250","226","905 ماهان پل, روستای آیدا, گلستان 023309"
"77199012882306","604843389","7231067499","104","4391 یاسین بزرگ راه سوئیت 658, باغات كیان, تهران 23459"
"927023846346824","926867621","1260699490","116","2982 امیر علی جنب سوئیت 962, شهر اسما, آذربایجان شرقی 2652063999"
"49091780241560","75905696","9729997407","286","638 اميرمحمد بلوار سوئیت 783, شهر ابوالفضل, گلستان 8600"
"287670223919697","878400613","8106492818","265","47948 علیجانی جزیره واحد 366, شهرستان طاها, قم 02584"
"793937712297354","768979454","8907572966","251","22418 نعمتی میدان واحد 084, استان حدیث, مرکزی 3138797678"
"902831278212405","601493600","7734645061","192","59391 مهديس جزیره واحد 190, شمال حنانه, یزد 3388"
"168213888652597","341215079","6250054472","247","907 عقیلی کوه واحد 604, شهرستان علیرضا, خوزستان 503"
"523509119300766","909894650","3365135620","190","4741 قاضی کوه, بندر آوا, هرمزگان 2498781763"
"523509119300766","552387214","7179973172","81","4608 لاچینی جنب واحد 444, باغات آرمین, کردستان 7121"
"450460853498339","791654930","9871809338","87","27131 حریریان دره, غرب فاطمه زهرا, کرمانشاه 8265844383"
"450460853498339","526770685","1103676371","134","814 وثاق پل سوئیت 205, شهرستان النا, قزوین 7641225914"
"187413182821392","913810630","1246056920","273","4748 فرجی آزاد راه, شهر متين, گلستان 6078"
"139866181936014","132666456","6015941484","187","26950 سجاد تونل سوئیت 386, باغات آرمين, همدان 9784123266"
"360336176733126","253383636","5310420493","217","6858 هاشمی میدان واحد 762, جنوب حلما, مازندران 938148"
"360336176733126","541512993","1402794843","182","935 علی اصغر بلوار سوئیت 838, شرق ابوالفضل, زنجان 486981"
"313504231807729","616810021","3955183836","266","790 موسوی بن بست, بندر آرمین, آذربایجان غربی 2879"
"535584801996496","588513156","3588096892","220","72645 ایلیا بن بست واحد 419, دهستان آرش, گیلان 4329"
"535584801996496","791459937","5898178154","236","3507 خسروجردی خیابان, شمال ماهان, خراسان جنوبی 707233"
"300139746319475","937190028","2118859272","299","41697 محيا کوه, بندر پارسا, اردبیل 996142"
"801612067844497","225041045","9235320214","166","43051 کابلی بزرگ راه واحد 807, شهرستان اميرعلي, خراسان 488840"
"140622545698580","749281507","9295017998","151","03958 آرمين بن بست, جنوب نازنین, ایلام 4808"
"140622545698580","693044947","2024591857","139","52138 امیرمهدی بلوار واحد 691, روستای فاطمه زهرا, گلستان 5010045546"
"185818989975929","667753054","8756970220","191","6324 نازنين بزرگ راه, استان آرین, مرکزی 912"
"185818989975929","385943671","9177926478","147","821 حسنا کوچه واحد 522, دهستان النا, بوشهر 7209372572"
"213963557948910","133055738","2659098589","237","3462 محمد چهار راه واحد 469, شرق آتنا, اصفهان 5500665767"
"213963557948910","648258325","6811529353","186","96656 محمد جاده, استان مهدی, تهران 93222"
"449755836061635","544536698","6411500372","154","36328 احسان بزرگ راه سوئیت 840, باغات علي, اردبیل 97130"
"449755836061635","365632667","1999552102","246","74994 جلالی بن بست سوئیت 291, شرق علي, گلستان 53827"
"722337036552477","336075738","9989054007","291","19822 جهانی خیابان, استان زهرا, بوشهر 127"
